model,weights,capture_tag,capture_h,mean_w,mean_h,mean_kb,n_images,imgsz,precision_mode,jpeg_quality,recall_op,precision_op,map50_op,recall_sweep,precision_sweep,map50,map50_95,fwd_median_ms,fwd_p95_ms,fwd_std_ms,pre_ms,inf_ms,post_ms,params_M,gflops,device,torch
yolo11n,yolo11n.pt,native,,1291,726,187.1,548,1280,fp32,85,0.2223,0.5037,0.17157,0.26762,0.39638,0.24995,0.14319,186.79,207.777,14.938,4.527,115.033,10.338,2.624,27.43,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,native,,1291,726,187.1,548,960,fp32,85,0.17598,0.48844,0.13492,0.23355,0.36546,0.20928,0.11787,76.833,81.688,3.801,1.435,56.355,5.858,2.624,15.19,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,native,,1291,726,187.1,548,640,fp32,85,0.11405,0.47532,0.08886,0.16789,0.32784,0.14645,0.08036,38.055,50.846,10.588,0.542,27.728,2.903,2.624,6.67,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,native,,1291,726,187.1,548,512,fp32,85,0.08246,0.48699,0.06621,0.13788,0.3145,0.11213,0.06172,30.2,40.279,6.749,0.288,23.723,2.231,2.624,4.26,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,native,,1291,726,187.1,548,320,fp32,85,0.03753,0.41278,0.02889,0.07358,0.24822,0.05378,0.02808,14.983,16.72,1.301,0.144,12.803,1.038,2.624,1.66,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,720p,720,1209,680,157.0,548,1280,fp32,85,0.21778,0.4955,0.1697,0.27128,0.39528,0.24702,0.14133,140.531,164.941,12.721,3.007,97.779,9.844,2.624,27.43,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,720p,720,1209,680,157.0,548,960,fp32,85,0.17004,0.49694,0.13235,0.2288,0.36552,0.20555,0.1158,72.853,85.099,6.446,1.367,51.762,5.524,2.624,15.19,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,720p,720,1209,680,157.0,548,640,fp32,85,0.11313,0.48758,0.08984,0.16481,0.34348,0.14726,0.08119,37.179,56.209,9.009,0.493,28.457,2.814,2.624,6.67,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,720p,720,1209,680,157.0,548,512,fp32,85,0.08349,0.50183,0.0678,0.13052,0.33058,0.11335,0.06287,28.032,33.742,3.074,0.191,20.942,2.119,2.624,4.26,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,720p,720,1209,680,157.0,548,320,fp32,85,0.03657,0.4079,0.02892,0.07373,0.25717,0.05382,0.02798,18.439,47.674,13.011,0.136,14.137,1.141,2.624,1.66,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,600p,600,1043,586,124.41,548,1280,fp32,85,0.21052,0.49828,0.16393,0.26126,0.40353,0.23954,0.13767,166.159,171.658,3.933,3.046,99.455,9.761,2.624,27.43,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,600p,600,1043,586,124.41,548,960,fp32,85,0.16906,0.50766,0.13001,0.22845,0.36057,0.20385,0.11494,74.94,79.878,3.475,1.348,52.75,5.622,2.624,15.19,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,600p,600,1043,586,124.41,548,640,fp32,85,0.11399,0.49595,0.08905,0.16163,0.3514,0.14638,0.0805,34.969,37.764,1.85,0.395,26.662,2.798,2.624,6.67,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,600p,600,1043,586,124.41,548,512,fp32,85,0.08206,0.47197,0.06707,0.13296,0.32667,0.1132,0.06225,25.236,27.467,1.409,0.189,20.455,2.05,2.624,4.26,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,600p,600,1043,586,124.41,548,320,fp32,85,0.03661,0.41201,0.02908,0.07429,0.25818,0.05407,0.02803,16.725,18.631,1.743,0.12,13.346,1.108,2.624,1.66,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,480p,480,853,480,87.59,548,1280,fp32,85,0.19945,0.50911,0.15476,0.23775,0.41297,0.22632,0.12921,169.399,176.56,4.315,3.165,112.706,15.183,2.624,27.43,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,480p,480,853,480,87.59,548,960,fp32,85,0.16155,0.51238,0.12713,0.21687,0.38538,0.19837,0.11162,76.001,81.269,2.317,1.381,54.745,5.305,2.624,15.19,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,480p,480,853,480,87.59,548,640,fp32,85,0.11236,0.50812,0.08868,0.16253,0.35423,0.14671,0.08034,36.722,39.691,1.682,0.378,27.108,2.795,2.624,6.67,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,480p,480,853,480,87.59,548,512,fp32,85,0.08305,0.50161,0.06558,0.13209,0.32999,0.11305,0.06255,26.63,30.155,2.358,0.228,20.405,2.031,2.624,4.26,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,480p,480,853,480,87.59,548,320,fp32,85,0.03767,0.41071,0.02891,0.07633,0.25252,0.05451,0.02811,15.315,17.697,2.259,0.078,12.567,1.045,2.624,1.66,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,360p,360,640,360,54.07,548,1280,fp32,85,0.1732,0.47457,0.13378,0.22658,0.37634,0.2034,0.11568,166.236,174.0,4.072,4.355,100.071,10.432,2.624,27.43,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,360p,360,640,360,54.07,548,960,fp32,85,0.1464,0.47236,0.11376,0.20626,0.34923,0.18044,0.10085,73.478,77.378,1.922,1.26,55.327,5.36,2.624,15.19,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,360p,360,640,360,54.07,548,640,fp32,85,0.11025,0.506,0.08723,0.16109,0.32778,0.1417,0.07829,37.886,40.886,3.713,0.525,27.869,2.794,2.624,6.67,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,360p,360,640,360,54.07,548,512,fp32,85,0.08053,0.49114,0.06357,0.11944,0.33343,0.10838,0.05985,27.078,28.748,1.257,0.279,20.135,1.946,2.624,4.26,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,360p,360,640,360,54.07,548,320,fp32,85,0.03666,0.40777,0.02827,0.07008,0.27511,0.05275,0.02716,15.075,17.127,1.638,0.077,12.47,1.047,2.624,1.66,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,240p,240,427,240,26.97,548,1280,fp32,85,0.1296,0.4058,0.09389,0.16878,0.36009,0.14702,0.07992,163.26,169.423,3.797,3.238,101.973,15.06,2.624,27.43,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,240p,240,427,240,26.97,548,960,fp32,85,0.12089,0.4963,0.09131,0.15572,0.37916,0.14662,0.07933,72.858,77.465,3.026,1.265,55.613,5.673,2.624,15.19,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,240p,240,427,240,26.97,548,640,fp32,85,0.09282,0.47964,0.07215,0.14123,0.32501,0.12293,0.06608,37.056,39.647,1.596,0.539,27.718,2.588,2.624,6.67,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,240p,240,427,240,26.97,548,512,fp32,85,0.07268,0.52924,0.05845,0.11418,0.34196,0.1006,0.05414,28.673,32.064,3.591,0.308,21.188,1.909,2.624,4.26,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,240p,240,427,240,26.97,548,320,fp32,85,0.03483,0.43847,0.02707,0.07246,0.23562,0.05168,0.02651,15.507,17.577,1.825,0.101,12.675,1.048,2.624,1.66,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,180p,180,320,180,16.62,548,1280,fp32,85,0.08916,0.36448,0.06955,0.1293,0.30192,0.11341,0.05939,190.306,200.675,6.856,3.717,100.726,14.337,2.624,27.43,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,180p,180,320,180,16.62,548,960,fp32,85,0.08692,0.37337,0.06473,0.12834,0.31995,0.11126,0.05834,74.156,80.167,3.803,1.392,54.106,5.788,2.624,15.19,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,180p,180,320,180,16.62,548,640,fp32,85,0.07439,0.44545,0.05989,0.11334,0.3191,0.10379,0.05418,38.239,40.736,1.626,0.516,28.029,2.539,2.624,6.67,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,180p,180,320,180,16.62,548,512,fp32,85,0.06192,0.49186,0.04988,0.10775,0.31105,0.08762,0.04564,28.811,30.698,1.525,0.3,21.139,1.8,2.624,4.26,cpu,2.14.0+cpu
yolo11n,yolo11n.pt,180p,180,320,180,16.62,548,320,fp32,85,0.03445,0.38801,0.02808,0.0691,0.27096,0.05306,0.02711,16.188,18.782,2.073,0.104,12.766,1.041,2.624,1.66,cpu,2.14.0+cpu
