model,weights,capture_tag,capture_h,mean_w,mean_h,mean_kb,n_images,imgsz,precision_mode,jpeg_quality,recall_op,precision_op,map50_op,recall_sweep,precision_sweep,map50,map50_95,fwd_median_ms,fwd_p95_ms,fwd_std_ms,pre_ms,inf_ms,post_ms,params_M,gflops,device,torch,encode_ms,compute_ms,tx_ms@2,e2e_ms@2,tx_ms@5,e2e_ms@5,tx_ms@10,e2e_ms@10,tx_ms@20,e2e_ms@20,tx_ms@50,e2e_ms@50
yolo11n,yolo11n.pt,native,,1291,726,187.1,548,1280,fp32,85,0.2223,0.5037,0.17157,0.26762,0.39638,0.24995,0.14319,186.79,207.777,14.938,4.527,115.033,10.338,2.624,27.43,cpu,2.14.0+cpu,7.498128,201.65499999999997,748.4,972.5531279999999,299.36,523.513128,149.68,373.833128,74.84,298.99312799999996,29.936,254.08912799999996
yolo11n,yolo11n.pt,native,,1291,726,187.1,548,960,fp32,85,0.17598,0.48844,0.13492,0.23355,0.36546,0.20928,0.11787,76.833,81.688,3.801,1.435,56.355,5.858,2.624,15.19,cpu,2.14.0+cpu,7.498128,84.126,748.4,855.0241279999999,299.36,405.98412800000006,149.68,256.304128,74.84,181.46412800000002,29.936,136.56012800000002
yolo11n,yolo11n.pt,native,,1291,726,187.1,548,640,fp32,85,0.11405,0.47532,0.08886,0.16789,0.32784,0.14645,0.08036,38.055,50.846,10.588,0.542,27.728,2.903,2.624,6.67,cpu,2.14.0+cpu,7.498128,41.5,748.4,812.3981279999999,299.36,363.358128,149.68,213.67812800000002,74.84,138.838128,29.936,93.934128
yolo11n,yolo11n.pt,native,,1291,726,187.1,548,512,fp32,85,0.08246,0.48699,0.06621,0.13788,0.3145,0.11213,0.06172,30.2,40.279,6.749,0.288,23.723,2.231,2.624,4.26,cpu,2.14.0+cpu,7.498128,32.719,748.4,803.617128,299.36,354.577128,149.68,204.897128,74.84,130.057128,29.936,85.15312800000001
yolo11n,yolo11n.pt,native,,1291,726,187.1,548,320,fp32,85,0.03753,0.41278,0.02889,0.07358,0.24822,0.05378,0.02808,14.983,16.72,1.301,0.144,12.803,1.038,2.624,1.66,cpu,2.14.0+cpu,7.498128,16.165,748.4,787.0631279999999,299.36,338.02312800000004,149.68,188.343128,74.84,113.503128,29.936,68.59912800000001
yolo11n,yolo11n.pt,720p,720.0,1209,680,157.0,548,1280,fp32,85,0.21778,0.4955,0.1697,0.27128,0.39528,0.24702,0.14133,140.531,164.941,12.721,3.007,97.779,9.844,2.624,27.43,cpu,2.14.0+cpu,6.57696,153.382,628.0,802.9589599999999,251.2,426.15896,125.6,300.55896,62.8,237.75896,25.12,200.07896
yolo11n,yolo11n.pt,720p,720.0,1209,680,157.0,548,960,fp32,85,0.17004,0.49694,0.13235,0.2288,0.36552,0.20555,0.1158,72.853,85.099,6.446,1.367,51.762,5.524,2.624,15.19,cpu,2.14.0+cpu,6.57696,79.744,628.0,729.32096,251.2,352.52095999999995,125.6,226.92096,62.8,164.12096,25.12,126.44096
yolo11n,yolo11n.pt,720p,720.0,1209,680,157.0,548,640,fp32,85,0.11313,0.48758,0.08984,0.16481,0.34348,0.14726,0.08119,37.179,56.209,9.009,0.493,28.457,2.814,2.624,6.67,cpu,2.14.0+cpu,6.57696,40.486000000000004,628.0,690.06296,251.2,313.26295999999996,125.6,187.66296,62.8,124.86296,25.12,87.18296000000001
yolo11n,yolo11n.pt,720p,720.0,1209,680,157.0,548,512,fp32,85,0.08349,0.50183,0.0678,0.13052,0.33058,0.11335,0.06287,28.032,33.742,3.074,0.191,20.942,2.119,2.624,4.26,cpu,2.14.0+cpu,6.57696,30.342,628.0,679.91896,251.2,303.11895999999996,125.6,177.51896,62.8,114.71896,25.12,77.03896
yolo11n,yolo11n.pt,720p,720.0,1209,680,157.0,548,320,fp32,85,0.03657,0.4079,0.02892,0.07373,0.25717,0.05382,0.02798,18.439,47.674,13.011,0.136,14.137,1.141,2.624,1.66,cpu,2.14.0+cpu,6.57696,19.716,628.0,669.29296,251.2,292.49296,125.6,166.89296000000002,62.8,104.09296,25.12,66.41296
