model,seed,split,capture_tag,imgsz,class_id,class_name,metric,value
yolo11n,0,val,native,1280,0,pedestrian,recall,0.349673
yolo11n,0,val,native,1280,1,people,recall,0.0
yolo11n,0,val,native,1280,2,bicycle,recall,0.0
yolo11n,0,val,native,1280,3,car,recall,0.0
yolo11n,0,val,native,1280,4,van,recall,0.0
yolo11n,0,val,native,1280,5,truck,recall,0.0
yolo11n,0,val,native,1280,6,tricycle,recall,0.0
yolo11n,0,val,native,1280,7,awning-tricycle,recall,0.0
yolo11n,0,val,native,1280,9,motor,recall,0.0
yolo11n,0,val,native,1280,0,pedestrian,precision,0.45339
yolo11n,0,val,native,1280,1,people,precision,0.0
yolo11n,0,val,native,1280,2,bicycle,precision,0.0
yolo11n,0,val,native,1280,3,car,precision,0.0
yolo11n,0,val,native,1280,4,van,precision,0.0
yolo11n,0,val,native,1280,5,truck,precision,0.0
yolo11n,0,val,native,1280,6,tricycle,precision,0.0
yolo11n,0,val,native,1280,7,awning-tricycle,precision,0.0
yolo11n,0,val,native,1280,9,motor,precision,0.0
yolo11n,0,val,native,1280,0,pedestrian,map50,0.345905
yolo11n,0,val,native,1280,1,people,map50,0.024931
yolo11n,0,val,native,1280,2,bicycle,map50,0.000244
yolo11n,0,val,native,1280,3,car,map50,0.000218
yolo11n,0,val,native,1280,4,van,map50,0.0
yolo11n,0,val,native,1280,5,truck,map50,0.004606
yolo11n,0,val,native,1280,6,tricycle,map50,0.000862
yolo11n,0,val,native,1280,7,awning-tricycle,map50,0.0246
yolo11n,0,val,native,1280,9,motor,map50,0.015101
yolo11n,0,val,native,1280,0,pedestrian,map50_95,0.168599
yolo11n,0,val,native,1280,1,people,map50_95,0.005631
yolo11n,0,val,native,1280,2,bicycle,map50_95,5.9e-05
yolo11n,0,val,native,1280,3,car,map50_95,7.9e-05
yolo11n,0,val,native,1280,4,van,map50_95,0.0
yolo11n,0,val,native,1280,5,truck,map50_95,0.004146
yolo11n,0,val,native,1280,6,tricycle,map50_95,0.000776
yolo11n,0,val,native,1280,7,awning-tricycle,map50_95,0.01314
yolo11n,0,val,native,1280,9,motor,map50_95,0.003213
yolo11n,0,val,native,960,0,pedestrian,recall,0.235294
yolo11n,0,val,native,960,1,people,recall,0.007092
yolo11n,0,val,native,960,2,bicycle,recall,0.0
yolo11n,0,val,native,960,3,car,recall,0.0
yolo11n,0,val,native,960,4,van,recall,0.0
yolo11n,0,val,native,960,5,truck,recall,0.0
yolo11n,0,val,native,960,6,tricycle,recall,0.0
yolo11n,0,val,native,960,7,awning-tricycle,recall,0.0
yolo11n,0,val,native,960,9,motor,recall,0.0
yolo11n,0,val,native,960,0,pedestrian,precision,0.418605
yolo11n,0,val,native,960,1,people,precision,0.2
yolo11n,0,val,native,960,2,bicycle,precision,0.0
yolo11n,0,val,native,960,3,car,precision,0.0
yolo11n,0,val,native,960,4,van,precision,0.0
yolo11n,0,val,native,960,5,truck,precision,0.0
yolo11n,0,val,native,960,6,tricycle,precision,0.0
yolo11n,0,val,native,960,7,awning-tricycle,precision,0.0
yolo11n,0,val,native,960,9,motor,precision,0.0
yolo11n,0,val,native,960,0,pedestrian,map50,0.253299
yolo11n,0,val,native,960,1,people,map50,0.018781
yolo11n,0,val,native,960,2,bicycle,map50,0.000568
yolo11n,0,val,native,960,3,car,map50,0.000646
yolo11n,0,val,native,960,4,van,map50,0.0
